Cost of Repairs,Age of machine,Machine
327.67,110,welding machine
376.68,113,welding machine
392.52,114,welding machine
443.14,134,welding machine
342.62,93,welding machine
476.16,141,welding machine
324.74,115,welding machine
338.98,115,welding machine
433.45,115,welding machine
526.37,142,welding machine
362.42,96,welding machine
448.76,139,welding machine
335.27,89,welding machine
350.94,93,welding machine
291.81,91,welding machine
467.8,109,welding machine
474.48,138,welding machine
354.15,83,welding machine
420.11,100,welding machine
416.04,137,welding machine
321.86,127,lathe
303.73,164,lathe
301.06,159,lathe
279.24,155,lathe
327.94,179,lathe
281.74,146,lathe
393.35,134,lathe
265.16,150,lathe
350.3,159,lathe
123.88,121,lathe
254.59,168,lathe
309.57,158,lathe
208.73,113,lathe
223.34,145,lathe
319.26,151,lathe
414.3,165,lathe
245.8,139,lathe
365.37,148,lathe
308.46,149,lathe
353.67,146,lathe
388.06,87,stampping machine
401.24,106,stampping machine
311.13,72,stampping machine
252.33,67,stampping machine
348.88,83,stampping machine
282.31,74,stampping machine
251.56,72,stampping machine
250.32,77,stampping machine
338.67,81,stampping machine
388.24,88,stampping machine
342.19,100,stampping machine
475.41,104,stampping machine
287.77,77,stampping machine
341.1,90,stampping machine
276.1,77,stampping machine
363.88,85,stampping machine
309.87,84,stampping machine
326.9,68,stampping machine
292.97,73,stampping machine
354.35,89,stampping machine
