,income,age,takeoffer,Mortgage,Famsize
1,80,30,take offer,2000,4
2,60,34,take offer,2100,3
3,35,25,decline offer,1500,2
4,45,27,decline offer,1800,4
5,29,23,decline offer,1900,2
6,43,28,decline offer,1600,3
7,34,24,decline offer,1500,1
8,104,43,take offer,2400,5
9,102,46,take offer,2700,3
10,59,36,decline offer,2600,2
11,87,54,take offer,2400,4
12,69,38,take offer,2300,5
13,53,27,decline offer,1800,2
14,88,43,take offer,2000,4
15,126,58,take offer,3400,6
16,45,25,decline offer,2100,3
17,66,36,take offer,2400,4
18,95,49,take offer,2300,5
19,41,26,decline offer,2000,2
20,59,29,decline offer,2100,3
21,68,34,decline offer,2300,4
22,110,46,take offer,2900,6
23,58,38,decline offer,2000,3
24,67,30,decline offer,2400,2
25,95,55,take offer,1500,5
26,116,54,take offer,1800,5
27,43,28,decline offer,1500,2
28,118,58,take offer,2600,2
29,132,49,take offer,3400,6
30,60,37,take offer,2100,4
